epoch,lr,loss,euclidean_distance,val_loss,val_euclidean_distance
1,0.001,4.41414154996828,4.414135949567321,4.296386325679782,4.296380711287997
2,0.001,4.191194215247789,4.191188594868025,4.222523193400805,4.222517571273201
3,0.001,4.081118817606796,4.081113183628662,4.213147205209848,4.2131415872576445
4,0.001,3.983394589694887,3.9833889434939973,4.235307962098848,4.235302340845164
5,0.001,3.8940880019890365,3.8940823469396975,4.278814352710966,4.2788087406496365
6,0.001,3.8129969978062253,3.8129913363521784,4.289095265335147,4.289089649001315
7,0.001,3.7395263665110203,3.739520702317879,4.325417345805949,4.32541173461854
8,0.001,3.669518670196155,3.6695130016617306,4.365508004921854,4.365502396615148
9,0.001,3.6079912512539654,3.6079855759466533,4.405618251163028,4.405612638810391
10,0.0001,3.4189233426090624,3.418917663506668,4.4001706438222525,4.400165033864806
11,0.0001,3.3664264441944485,3.3664207590555257,4.4195396909887235,4.419534086889784
12,0.0001,3.34158993171927,3.3415842462000303,4.436835843488117,4.4368302354403495
13,0.0001,3.3239632145909552,3.3239575307548224,4.449623206161527,4.4496176021758735
